date_time,subject,subject_count
08/06/2017 22:15, ITV Coverage,9
08/06/2017 22:15, Labour Seats,71
08/06/2017 22:15, SNP Seats,3
08/06/2017 22:15," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:15," ""exit poll"" OR #exitpoll",1619
08/06/2017 22:15," ""for the many"" OR #forthemany",23
08/06/2017 22:15," ""hung parliament"" OR #hungparliament",289
08/06/2017 22:15," ""strong and stable"" OR #strongandstable",66
08/06/2017 22:16, BBC Coverage,134
08/06/2017 22:16, Conservative Seats,41
08/06/2017 22:16, ITV Coverage,5
08/06/2017 22:16, Labour Seats,67
08/06/2017 22:16, Lib Dem Seats,1
08/06/2017 22:16, SNP Seats,2
08/06/2017 22:16," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:16," ""exit poll"" OR #exitpoll",1622
08/06/2017 22:16," ""for the many"" OR #forthemany",23
08/06/2017 22:16," ""hung parliament"" OR #hungparliament",333
08/06/2017 22:16," ""strong and stable"" OR #strongandstable",58
08/06/2017 22:17, BBC Coverage,117
08/06/2017 22:17, Conservative Seats,41
08/06/2017 22:17, ITV Coverage,7
08/06/2017 22:17, Labour Seats,54
08/06/2017 22:17, Lib Dem Seats,1
08/06/2017 22:17, SNP Seats,1
08/06/2017 22:17," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:17," ""exit poll"" OR #exitpoll",1734
08/06/2017 22:17," ""for the many"" OR #forthemany",24
08/06/2017 22:17," ""hung parliament"" OR #hungparliament",312
08/06/2017 22:17," ""strong and stable"" OR #strongandstable",47
08/06/2017 22:18, BBC Coverage,119
08/06/2017 22:18, Conservative Seats,36
08/06/2017 22:18, ITV Coverage,12
08/06/2017 22:18, Labour Seats,60
08/06/2017 22:18," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:18," ""exit poll"" OR #exitpoll",1642
08/06/2017 22:18," ""for the many"" OR #forthemany",31
08/06/2017 22:18," ""hung parliament"" OR #hungparliament",320
08/06/2017 22:18," ""strong and stable"" OR #strongandstable",58
08/06/2017 22:19, BBC Coverage,112
08/06/2017 22:19, Conservative Seats,37
08/06/2017 22:19, ITV Coverage,5
08/06/2017 22:19, Labour Seats,53
08/06/2017 22:19, SNP Seats,1
08/06/2017 22:19," ""coalitionofchaos"" OR #coalitionofchaos",3
08/06/2017 22:19," ""exit poll"" OR #exitpoll",1689
08/06/2017 22:19," ""for the many"" OR #forthemany",29
08/06/2017 22:19," ""hung parliament"" OR #hungparliament",314
08/06/2017 22:19," ""strong and stable"" OR #strongandstable",54
08/06/2017 22:20, BBC Coverage,106
08/06/2017 22:20, Conservative Seats,43
08/06/2017 22:20, ITV Coverage,5
08/06/2017 22:20, Labour Seats,55
08/06/2017 22:20, SNP Seats,1
08/06/2017 22:20," ""coalitionofchaos"" OR #coalitionofchaos",2
08/06/2017 22:20," ""exit poll"" OR #exitpoll",1545
08/06/2017 22:20," ""for the many"" OR #forthemany",22
08/06/2017 22:20," ""hung parliament"" OR #hungparliament",285
08/06/2017 22:20," ""strong and stable"" OR #strongandstable",51
08/06/2017 22:21, BBC Coverage,97
08/06/2017 22:21, Conservative Seats,36
08/06/2017 22:21, ITV Coverage,4
